#Name	Omega0	sigma8	SNMomentumBoostFactor	TwindMassLoadingBoostFactor	BondiAccretionBoostFactor	AGNFeedbackTemperature	OmegaBaryon	HubbleParam	n_s	SFEfficiency	CritPhysDensity	Nspawn	SNIIEnergyBoostFactor	SNIaEnergyBoostFactor	HNfrac	ZHN	SNIIEventNumber	DesNumNgbFB	TwindCsndBoostFactor	TwindVwindBoostFactor	EddingtonAccretionBoostFactor	Cvisc	BHRadiativeEfficiency	AGNFeedbackEfficiency	SeedBlackHoleMass	MinFoFMassForNewSeed	Seed
1P_p10_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.00447	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p10_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p10_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.0224	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p10_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.05	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p11_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.01	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p11_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.0316	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p11_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p11_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.316	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p11_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	1.0	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p12_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	1.0	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p12_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2.0	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p12_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	3.0	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p12_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	4.0	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p13_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	0.25	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p13_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	0.5	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p13_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p13_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	2.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p13_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	4.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p14_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	0.25	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p14_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	0.5	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p14_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p14_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	2.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p14_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	4.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p15_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.1	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p15_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.3	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p15_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p15_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.7	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p15_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.9	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p16_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	0.0001	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p16_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	0.001	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p16_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	0.01	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p17_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	1.0	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p17_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2.0	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p17_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	3.0	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
