#Name Omega_m    sigma_8    A_SN1      A_AGN1     A_SN2      A_AGN2   Omega_b    seed
SB7_195 0.23604600 0.93062100 0.26675800 2.63861900 1.05752300 0.256680 0.03918300 12195
SB7_196 0.27944700 0.89778800 0.47087100 3.37002300 1.50227100 1.703544 0.08040700 12196
SB7_197 0.44887000 0.70784900 1.08514600 0.31600500 0.55892900 0.438792 0.04069900 12197
SB7_198 0.36843400 0.96845400 0.51002900 0.50514800 0.88273900 2.863944 0.05274500 12198
SB7_199 0.10987800 0.62556200 3.83740900 1.50082600 1.34884600 0.738168 0.01366300 12199
SB7_200 0.13650800 0.99753500 1.20940800 0.89381900 1.11696600 1.566953 0.07117900 12200
SB7_201 0.39181700 0.60937200 0.40454200 1.19149900 0.75394600 0.401108 0.03022000 12201
SB7_202 0.42232600 0.86751700 3.15816600 2.12255000 0.67617500 3.725799 0.06320400 12202
SB7_203 0.25600400 0.72601100 0.64711000 0.35720100 1.75655300 0.954353 0.02287100 12203
SB7_204 0.20956300 0.69634400 0.77400000 0.27645600 1.25186900 2.203212 0.05660100 12204
SB7_205 0.46797200 0.90973200 2.52854700 3.24814500 0.95144300 0.558362 0.01701000 12205
SB7_206 0.34850100 0.76398400 0.31037000 1.86583900 0.52974300 1.309523 0.08894000 12206
SB7_207 0.17902900 0.83027700 1.64621000 0.67786100 1.58557300 0.332106 0.04997400 12207
SB7_208 0.19465300 0.61916600 0.56260300 2.55118100 0.97328800 0.648814 0.08743500 12208
SB7_209 0.32662500 0.98725400 3.63251000 0.43888300 1.21991900 2.673961 0.04647900 12209
SB7_210 0.45859700 0.73924700 0.42625100 0.75991300 1.61759900 0.272710 0.05947000 12210
SB7_211 0.21268800 0.85398900 1.14779900 1.03483100 0.52043200 1.124703 0.01914000 12211
SB7_212 0.27162900 0.92422600 1.74108100 1.58577800 0.73081100 0.466509 0.06033300 12212
SB7_213 0.40045100 0.68136400 0.29346100 0.58892900 1.14894300 1.900348 0.02074400 12213
SB7_214 0.38244100 0.84196300 2.19459500 0.33239600 1.73523800 0.784282 0.07268100 12214
SB7_215 0.13963300 0.75200600 0.89179100 3.98956800 0.68617700 3.196908 0.03371800 12215
SB7_216 0.11300300 0.82417400 0.32699200 0.41644500 0.57360200 0.360543 0.05112400 12216
SB7_217 0.35905900 0.78268500 1.49643000 2.24265900 1.46815100 1.461932 0.01028500 12217
SB7_218 0.42699600 0.94083600 0.73373100 1.41056600 1.37306800 0.857274 0.08316000 12218
SB7_219 0.29507300 0.65264400 2.78566700 0.94017500 0.86502300 3.478363 0.04294700 12219
SB7_220 0.23917100 0.71990700 2.86301600 0.62068900 0.60858600 0.501904 0.07664400 12220
SB7_221 0.48212600 0.88621900 0.68360500 1.80398200 1.95713300 2.055501 0.03693800 12221
SB7_222 0.30003300 0.64047700 1.33599300 2.92702700 1.04204300 0.298317 0.06899200 12222
SB7_223 0.17125900 0.95383400 0.38245600 0.26867500 0.80605500 1.222584 0.02991100 12223
SB7_224 0.16340900 0.87318900 0.86453900 1.46068200 0.85580000 0.293565 0.07808800 12224
SB7_225 0.30787800 0.73323200 2.36408200 0.54201400 1.38801100 1.139279 0.03830100 12225
SB7_226 0.47734600 0.99305000 0.27614700 0.30426400 1.42137200 0.698476 0.06512400 12226
SB7_227 0.24393400 0.60018800 1.77188600 3.65501100 0.59254300 2.708901 0.02596300 12227
SB7_228 0.29037700 0.77042400 1.13081300 2.77053700 0.83254800 0.834221 0.05476100 12228
SB7_229 0.43169600 0.83516800 0.45187000 0.47670200 1.00877700 3.277794 0.01384100 12229
SB7_230 0.35119500 0.68794100 3.39927900 0.82987500 1.97814000 0.496182 0.08210800 12230
SB7_231 0.12088400 0.90602900 0.57578400 1.12991300 0.60206000 1.948227 0.04181400 12231
SB7_232 0.14425400 0.67175200 0.35599700 0.67417400 0.50376400 0.907896 0.06428200 12232
SB7_233 0.37781300 0.93510900 1.37437100 1.95909200 1.67129400 3.581344 0.02461300 12233
SB7_234 0.40824000 0.78858600 0.66990600 3.19596800 1.20670900 0.381873 0.07131700 12234
SB7_235 0.26382000 0.80489700 3.05078900 0.29341100 0.98404700 1.505306 0.03227300 12235
