# Name Omega_m, sigma_8 ASN1 AAGN1 ASN2 AAGN2 Omega_b seed
SB7_97 0.31107 0.61655 3.06606 2.67972 0.79103 0.75350 0.022654 12097
SB7_98 0.48064 0.85683 0.35808 1.16784 0.62371 1.14758 0.070791 12098
SB7_99 0.24689 0.74969 1.36638 0.80404 1.90898 0.58094 0.030617 12099
SB7_100 0.29343 0.67931 1.46650 0.51319 1.34028 1.24833 0.089324 12100
SB7_101 0.43490 0.91457 0.34839 1.54067 0.88590 0.62827 0.049579 12101
SB7_102 0.35449 0.76189 2.62129 3.46415 0.56257 1.92548 0.056351 12102
SB7_103 0.12384 0.84381 0.74658 0.32147 1.49648 0.96873 0.017231 12103
SB7_104 0.14735 0.77847 0.27449 2.17888 1.76935 1.30130 0.079802 12104
SB7_105 0.38096 0.81511 1.78255 0.36289 0.67316 0.65722 0.038808 12105
SB7_106 0.41149 0.66154 0.86872 0.90927 0.74872 1.68790 0.067142 12106
SB7_107 0.26682 0.94522 2.35270 1.22479 1.12181 0.85217 0.026772 12107
SB7_108 0.22352 0.87811 3.41748 1.89488 1.57844 1.55233 0.052974 12108
SB7_109 0.45403 0.71630 0.57273 0.69609 0.53354 0.78765 0.013425 12109
SB7_110 0.33453 0.95727 1.12461 0.28427 0.95553 1.00671 0.080000 12110
SB7_111 0.19301 0.64876 0.45436 3.30322 1.24303 0.51063 0.041076 12111
SB7_112 0.18364 0.80010 2.47820 0.74001 0.51706 0.71415 0.083537 12112
SB7_113 0.33765 0.79299 0.82473 1.01897 1.62388 1.43770 0.042540 12113
SB7_114 0.46965 0.93327 1.54922 2.50865 1.22771 0.55078 0.050886 12114
SB7_115 0.20165 0.67320 0.31583 0.42681 0.96982 1.10846 0.010514 12115
SB7_116 0.25745 0.70599 0.39449 0.32719 0.68875 0.59545 0.069233 12116
SB7_117 0.41462 0.88793 1.29528 3.88643 1.72393 1.20618 0.029681 12117
SB7_118 0.39658 0.63525 0.60592 1.54267 1.14470 0.91845 0.076269 12118
SB7_119 0.12548 0.97049 3.23024 0.57892 0.73544 1.85982 0.037341 12119
