#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
LH_163 0.12714 0.77518 1.79269 2.08375 1.87377 0.57386 30163
LH_164 0.17892 0.64170 0.95349 2.45675 0.89898 1.05534 30164
LH_165 0.25805 0.72047 0.88973 1.94454 1.23113 0.71894 30165
LH_166 0.44327 0.80510 0.31604 3.33340 0.70511 0.85190 30166
LH_167 0.35828 0.97717 0.80951 1.24077 0.83197 1.40206 30167
LH_168 0.37741 0.67589 0.43714 3.19664 1.02617 1.25208 30168
LH_169 0.13911 0.95183 0.59703 2.19614 1.22159 1.59664 30169
LH_170 0.20571 0.98772 1.20652 0.25624 0.77063 0.61572 30170
LH_171 0.21516 0.62906 3.75030 0.42229 0.77786 0.82802 30171
LH_172 0.49149 0.78441 2.22919 1.02699 0.75846 1.47865 30172
LH_173 0.15384 0.74158 0.79124 1.38385 0.79252 1.42558 30173
LH_174 0.17400 0.87771 0.33468 3.08568 1.76125 1.06180 30174
LH_175 0.32506 0.81286 3.21307 0.87712 0.50129 0.70696 30175
LH_176 0.46134 0.89909 1.18333 0.60347 0.75701 1.78462 30176
LH_177 0.39238 0.80196 0.88629 0.38886 1.83156 1.22909 30177
LH_178 0.35090 0.85985 1.81431 1.08451 0.52279 1.69863 30178
LH_179 0.25791 0.73730 0.67537 0.30080 1.94833 0.83286 30179
LH_180 0.22580 0.77191 0.44827 1.61582 0.94614 1.21626 30180
LH_181 0.28153 0.89413 2.22790 1.20164 1.37746 1.28713 30181
LH_182 0.13723 0.98679 2.93893 2.45198 0.98711 0.85603 30182
LH_183 0.42406 0.87127 0.49440 0.31955 0.91484 1.03605 30183
LH_184 0.47205 0.61503 2.21081 2.65698 0.73544 1.22667 30184
LH_185 0.26396 0.84957 1.51153 2.01178 1.99102 1.10327 30185
LH_186 0.20541 0.64818 0.59305 0.37643 0.66673 1.16747 30186
LH_187 0.30687 0.76859 0.30015 2.10178 0.57264 0.86433 30187
LH_188 0.26353 0.88396 1.34798 0.30480 1.04454 1.16934 30188
LH_189 0.18517 0.83532 2.36927 3.66333 1.40242 0.60415 30189
LH_190 0.39254 0.79969 3.05230 0.39544 1.04046 0.96549 30190
LH_191 0.32386 0.98418 0.75103 0.34491 1.20865 1.08211 30191
LH_192 0.22289 0.75039 2.43016 1.49149 1.17319 0.97301 30192
LH_193 0.11954 0.66542 0.34204 0.40017 1.95247 0.75158 30193
LH_194 0.39934 0.95456 2.63236 2.88175 0.84214 1.11029 30194
LH_195 0.41147 0.78853 0.58589 2.57039 1.18864 0.95013 30195
LH_196 0.30257 0.66022 1.83770 0.25240 0.71946 0.69814 30196
LH_197 0.24129 0.69235 3.11074 3.72576 1.80765 1.24247 30197
LH_198 0.10974 0.67980 2.14609 1.90609 0.52450 1.00284 30198
LH_199 0.17655 0.97219 3.48902 2.90333 1.26002 1.21047 30199
LH_200 0.40601 0.92523 0.25002 0.74104 0.98847 0.78825 30200
LH_201 0.11875 0.90088 1.78662 0.28748 1.00910 0.53572 30201
LH_202 0.48910 0.73862 2.09752 0.30132 1.68529 1.66991 30202
LH_203 0.24837 0.88662 0.36997 0.78049 1.58013 1.18682 30203
LH_204 0.38765 0.79899 0.30234 2.31254 1.35577 0.84536 30204
LH_205 0.49597 0.99720 1.36118 0.43978 1.44672 1.05373 30205
LH_206 0.43728 0.76669 0.30165 2.49648 0.55230 1.08501 30206
LH_207 0.20893 0.60848 0.25312 1.82797 1.08033 0.76983 30207
LH_208 0.28387 0.66966 1.54051 0.91496 1.99699 1.64002 30208
LH_209 0.40758 0.61282 0.26798 2.61574 0.51422 1.89857 30209
LH_210 0.28497 0.83456 0.35286 0.76777 1.77747 1.51323 30210
LH_211 0.30198 0.83382 1.66865 2.92572 1.33780 1.84088 30211
LH_212 0.15511 0.84280 0.43259 2.78599 1.74913 0.65254 30212
LH_213 0.37095 0.99044 2.84633 3.75478 1.92444 0.56269 30213
LH_214 0.11532 0.85187 0.79887 1.78807 0.66489 0.79705 30214
LH_215 0.30956 0.76415 0.51769 2.22759 0.98577 0.56571 30215
LH_216 0.24353 0.99179 0.96103 1.58832 1.94077 1.28195 30216
LH_217 0.10175 0.98561 0.41839 0.26593 1.89141 1.51540 30217
LH_218 0.38246 0.69181 1.07240 2.37071 1.28001 1.29729 30218
LH_219 0.42994 0.73282 2.31766 0.60696 1.16630 1.30621 30219
LH_220 0.19988 0.96267 1.64167 0.55814 1.44995 1.23837 30220
LH_221 0.29867 0.79177 1.38069 0.55293 1.03267 0.50394 30221
LH_222 0.25418 0.74214 0.45345 3.74810 0.51750 0.78245 30222
LH_223 0.27637 0.81684 1.66376 3.15097 0.53797 0.56698 30223
LH_224 0.14973 0.64364 0.26086 1.26032 0.54845 1.23778 30224
LH_225 0.23390 0.63923 0.35864 1.31397 0.55156 0.51310 30225
LH_226 0.10143 0.70996 1.98308 1.70879 0.77220 0.55906 30226
LH_227 0.40043 0.99345 2.18347 1.63315 1.11337 0.57298 30227
LH_228 0.18792 0.64497 2.66571 0.41958 0.97765 1.46394 30228
LH_229 0.44497 0.99750 0.90001 2.96097 0.59147 1.89101 30229
LH_230 0.45162 0.90167 1.99309 0.64337 0.54295 0.53852 30230
LH_231 0.25153 0.62581 0.66103 2.46347 1.98558 1.40955 30231
LH_232 0.27125 0.97808 0.74519 0.74739 1.66207 0.60750 30232
LH_233 0.43621 0.80746 0.62497 0.26055 0.59886 1.18077 30233
LH_234 0.36517 0.99212 0.26428 1.10561 1.75079 0.71242 30234
LH_235 0.10083 0.88863 2.01807 1.40198 0.61319 0.93362 30235
LH_236 0.22726 0.99538 1.13734 0.48438 1.19384 1.91280 30236
LH_237 0.43975 0.84183 0.65580 0.32005 1.29929 1.97748 30237
LH_238 0.43369 0.82258 0.30749 0.84177 0.99377 1.73797 30238
LH_239 0.16880 0.97116 0.35252 0.26979 0.69231 1.83555 30239
LH_240 0.36697 0.92165 0.65268 0.56046 0.66420 0.89987 30240
LH_241 0.32603 0.61328 0.62902 1.46413 1.64506 1.27260 30241
LH_242 0.45420 0.77538 0.99512 0.45660 1.91027 0.50857 30242
LH_243 0.37072 0.70118 1.55875 0.84707 0.78980 0.64682 30243
LH_244 0.18926 0.81797 2.29569 1.94776 0.76402 1.70551 30244
LH_245 0.15567 0.72038 0.88043 0.45018 0.72786 0.56145 30245
LH_246 0.41388 0.93829 0.29227 2.01899 1.38025 0.57441 30246
LH_247 0.34361 0.80066 0.26215 0.25671 1.80597 1.81348 30247
LH_248 0.14366 0.92242 0.45452 1.12727 0.73002 0.67096 30248
LH_249 0.45224 0.85903 0.67644 0.84365 0.68028 0.96755 30249
LH_250 0.31821 0.63612 3.13520 0.38104 0.81086 1.23422 30250
LH_251 0.33589 0.61421 0.32507 1.29805 1.47084 0.55416 30251
LH_252 0.41297 0.96955 3.36607 0.59095 1.65702 0.50682 30252
LH_253 0.42899 0.73920 0.63495 0.30386 1.45825 1.58199 30253
LH_254 0.29047 0.70162 0.51436 0.28690 1.69954 1.13851 30254
LH_255 0.32830 0.79677 2.05671 1.03332 1.31246 0.72625 30255
LH_256 0.25030 0.87526 1.19426 1.96010 1.55362 1.00691 30256
LH_257 0.49723 0.95549 1.26792 3.01517 1.37035 0.67832 30257
LH_258 0.49609 0.78158 0.85127 3.41579 0.87532 1.82266 30258
LH_259 0.45145 0.90223 0.61431 1.80859 0.50938 1.63640 30259
LH_260 0.20702 0.94515 3.22517 0.92242 1.08212 1.14273 30260
LH_261 0.33812 0.84113 1.49816 3.16034 1.14007 0.83252 30261
LH_262 0.12525 0.67013 1.33816 1.04928 1.10601 0.98819 30262
LH_263 0.30572 0.73161 2.68788 2.16857 1.41392 1.28503 30263
LH_264 0.26929 0.82500 2.73395 3.47255 1.23343 0.66485 30264
LH_265 0.24740 0.60685 2.30739 0.79882 1.28862 1.31709 30265
LH_266 0.25061 0.94841 2.42794 3.12396 0.61626 0.82429 30266
LH_267 0.18568 0.82598 2.93085 0.45171 1.78368 1.33155 30267
LH_268 0.41654 0.97271 1.21560 0.49235 0.62948 0.95807 30268
LH_269 0.35579 0.80667 3.19751 0.73051 1.78026 0.92072 30269
LH_270 0.19573 0.97029 3.30190 1.81561 0.54232 1.16190 30270
LH_271 0.37246 0.89921 0.72892 3.92524 1.24532 0.71652 30271
LH_272 0.37565 0.97591 0.40744 3.58765 0.67075 0.51967 30272
LH_273 0.15988 0.68971 1.43036 3.54582 0.65378 0.74629 30273
LH_274 0.47434 0.81084 2.99325 3.00021 1.68920 1.79912 30274
LH_275 0.21738 0.88086 1.32118 0.54128 1.02831 0.80951 30275
LH_276 0.17165 0.86695 2.41409 0.74808 0.71104 1.81837 30276
LH_277 0.12434 0.62778 0.86592 1.95549 1.86509 0.75530 30277
LH_278 0.18700 0.91802 3.45505 0.25094 1.36960 1.32788 30278
LH_279 0.22822 0.84675 3.92386 0.51530 1.79938 0.61524 30279
LH_280 0.49832 0.90328 0.53386 2.02453 0.62071 0.98639 30280
LH_281 0.23582 0.69647 0.34439 1.41239 0.97070 1.06046 30281
LH_282 0.20302 0.79000 0.27315 1.99373 1.73321 0.83775 30282
LH_283 0.27924 0.96127 2.96582 3.65681 1.44172 0.64479 30283
LH_284 0.42649 0.61924 0.25464 0.80041 1.01235 1.56139 30284
LH_285 0.35876 0.67146 0.32812 0.54853 0.69624 0.91113 30285
LH_286 0.17694 0.91183 2.43897 2.72747 0.90353 1.10007 30286
LH_287 0.36135 0.80945 2.53519 0.70572 1.02049 0.69070 30287
LH_288 0.26906 0.64261 0.32332 1.10193 0.62123 1.45685 30288
LH_289 0.35343 0.68532 1.18435 0.69304 0.72504 1.49989 30289
LH_290 0.19523 0.74942 0.32013 1.26543 1.29413 0.89529 30290
LH_291 0.42481 0.87624 2.77765 3.28093 1.30798 1.60201 30291
LH_292 0.18458 0.66826 3.09390 0.39616 1.41957 0.65237 30292
LH_293 0.15775 0.67182 2.12067 3.35362 1.78905 0.54441 30293
LH_294 0.21209 0.65403 1.84336 0.34047 0.74773 0.61133 30294
LH_295 0.14940 0.63827 0.25518 2.17818 0.74991 1.67036 30295
LH_296 0.22632 0.76929 0.56113 0.70132 1.07456 0.95954 30296
LH_297 0.17343 0.83125 0.72595 0.26818 0.53310 1.82088 30297
